"#OTU_ID"	"EXPERIMENT_3_T_A01"	"EXPERIMENT_3_T_A02"	"EXPERIMENT_3_T_A03"	"EXPERIMENT_3_T_A04"	"EXPERIMENT_3_T_A05"	"EXPERIMENT_3_T_A06"	"EXPERIMENT_3_T_A07"	"EXPERIMENT_3_T_A08"	"EXPERIMENT_3_T_A09"	"EXPERIMENT_3_T_A10"	"EXPERIMENT_3_T_B01"	"EXPERIMENT_3_T_B02"	"EXPERIMENT_3_T_B03"	"EXPERIMENT_3_T_B04"	"EXPERIMENT_3_T_B05"	"EXPERIMENT_3_T_B06"	"EXPERIMENT_3_T_B07"	"EXPERIMENT_3_T_B08"	"EXPERIMENT_3_T_B09"	"EXPERIMENT_3_T_B10"	"EXPERIMENT_3_T_C01"	"EXPERIMENT_3_T_C02"	"EXPERIMENT_3_T_C03"	"EXPERIMENT_3_T_C04"	"EXPERIMENT_3_T_C05"	"EXPERIMENT_3_T_C06"	"EXPERIMENT_3_T_C07"	"EXPERIMENT_3_T_C08"	"EXPERIMENT_3_T_C09"	"EXPERIMENT_3_T_C10"	"EXPERIMENT_3_T_D01"	"EXPERIMENT_3_T_D02"	"EXPERIMENT_3_T_D03"	"EXPERIMENT_3_T_D04"	"EXPERIMENT_3_T_D05"	"EXPERIMENT_3_T_D06"	"EXPERIMENT_3_T_D07"	"EXPERIMENT_3_T_D08"	"EXPERIMENT_3_T_D09"	"EXPERIMENT_3_T_D10"	"EXPERIMENT_3_T_E01"	"EXPERIMENT_3_T_E02"	"EXPERIMENT_3_T_E03"	"EXPERIMENT_3_T_E04"	"EXPERIMENT_3_T_E05"	"EXPERIMENT_3_T_E06"	"EXPERIMENT_3_T_E07"	"EXPERIMENT_3_T_E08"	"EXPERIMENT_3_T_E09"	"EXPERIMENT_3_T_E10"	"EXPERIMENT_3_T_F01"	"EXPERIMENT_3_T_F02"	"EXPERIMENT_3_T_F03"	"EXPERIMENT_3_T_F04"	"EXPERIMENT_3_T_F05"	"EXPERIMENT_3_T_F06"	"EXPERIMENT_3_T_F07"	"EXPERIMENT_3_T_F08"	"EXPERIMENT_3_T_F09"	"EXPERIMENT_3_T_F10"	"EXPERIMENT_3_T_KN_hom1"	"EXPERIMENT_3_T_KN_hom2"	"EXPERIMENT_3_T_KN_hom_pl1"	"EXPERIMENT_3_T_KN_hom_pl2"	"EXPERIMENT_3_T_Neg_PCR"
"Zotu73"	28	24	31	20	0	12	15	29	6	37	17	43	295	0	231	221	49	0	54	28	4	13	19	5	24	56	81	29	30	15	10	0	41	22	1	33	79	83	77	74	50	40	0	0	0	0	39	65	63	59	16	62	42	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu55"	97	212	4	1125	0	13	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	61	143	328	482	10	0	158	231	0	0	0	0	263	28	88	146	235	34	237	956	45	34	61	376	165	50	63	409	0	1	0	0	0	0	0	0	0	0	0
"Zotu494"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu276"	12	27	3	2	0	12	0	0	0	0	0	0	4	6	0	3	0	4	4	3	0	0	1	0	5	3	12	11	4	12	0	0	11	34	0	6	36	19	2	2	0	0	0	0	0	12	0	10	0	18	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"Zotu646"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	14	27	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu13"	224	144	22	316	83	75	0	0	0	64	0	0	1247	17	865	983	485	13	2	0	0	0	186	54	418	364	545	315	499	156	124	0	75	92	0	25	9	28	0	6	0	0	244	63	162	477	24	63	67	96	23	24	0	46	0	0	0	0	0	0	0	0	0	0	0
"Zotu236"	39	0	27	6	11	0	0	1	1	0	0	0	0	0	2	0	2	0	5	2	0	2	0	0	0	0	22	9	19	31	2	0	0	6	0	0	0	0	0	5	3	1	0	0	0	0	8	17	6	22	46	26	10	46	0	0	0	0	0	0	0	0	0	0	0
"Zotu20"	146	103	34	304	0	0	6	685	2	272	37	383	58	56	115	175	125	92	0	0	0	0	46	15	142	139	0	0	0	0	0	0	0	0	0	0	0	0	59	4	32	14	0	0	0	0	31	0	128	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu1420"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu49"	2	102	10	3	20	1	0	65	0	68	25	175	84	0	172	178	51	14	1	0	0	0	83	7	20	39	129	47	125	97	0	0	0	0	0	27	20	12	26	65	5	18	0	0	0	0	10	89	53	233	109	88	28	110	0	0	0	0	0	0	0	0	0	0	0
