#OTU ID	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
OTU72	28	0	25	0	273	0	14	0	3232	0	0	0	3	0	11	0	23	0	977	462	8	0	3	2	0	0	0	0	0	0	79	37	6	0	7	4	0	0	37	49	0	0	12	0	0	0	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU161	0	9	0	0	3	19	29	9	7	1	0	15	0	38	2	0	0	2	5	9	2	6	0	1	45	0	13	0	0	13	0	26	2	0	8	15	4	0	32	0	12	7	9	17	0	9	38	24	13	11	17	15	10	4	0	0	0	0	14	5	0	9	23	16	35
OTU36	885	162	55	179	57	576	30	89	3	34	0	40	37	24	25	70	30	34	28	52	10	51	6	5	85	166	9	52	116	129	73	71	510	369	0	41	153	235	137	46	42	70	143	39	81	290	95	35	74	119	461	94	105	506	0	0	0	0	0	0	0	0	0	0	0
OTU302	1	0	0	1	8	5	52	13	2	0	16	22	4	20	0	5	0	1	0	13	14	4	0	3	0	5	10	0	19	3	6	8	9	0	20	4	0	0	0	7	0	0	8	37	8	90	13	38	0	0	9	2	7	11	0	0	0	0	14	0	1	1	0	42	18
OTU96	20	25	3	19	0	24	0	16	0	1	0	0	52	10	6	10	12	7	10	4	0	6	36	7	8	9	0	6	5	2	0	6	1	0	0	0	0	30	0	8	0	10	0	0	2	5	0	0	87	47	4	0	14	10	530	447	0	0	0	0	0	0	0	0	0
OTU484	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	5	11	0	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU255	8	3	0	16	0	0	2	3	0	0	0	109	1	0	1	0	7	10	0	3	0	5	0	0	11	35	9	6	74	30	0	31	121	92	0	0	4	0	0	11	0	3	0	0	11	34	0	0	0	5	0	9	0	21	0	0	0	0	0	0	0	0	0	0	0
OTU1	402	1060	49	956	9	3468	41	1818	10	843	4	1130	189	916	108	215	169	375	552	856	2114	788	90	161	1135	1513	358	684	2498	1206	70	0	1219	677	9	146	2033	2139	1881	44	1351	1495	85	332	2389	1578	51	55	2892	2129	36	20	3439	2251	597	452	0	0	0	0	0	0	0	0	0
OTU218	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	33	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU89	3	6	0	4	0	56	0	26	0	0	0	6	0	3	0	1	0	0	2	0	5	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	5	5	0	0	0	6	0	0	3	18	0	0	14	2	0	0	15	16	41	20	0	0	0	0	0	0	0	0	0
OTU47	2	43	0	18	0	176	0	100	0	74	0	8	0	24	0	5	0	0	6	2	0	3	0	0	0	0	0	31	80	17	0	0	0	0	0	0	28	20	17	0	22	23	0	0	55	36	0	0	108	19	0	0	91	71	30	30	0	0	0	0	0	0	0	0	0
OTU162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	9	21	43	0	0	0	0	0	0	0	0	99	48	24	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU45	4	90	46	117	0	0	0	3	8	168	0	15	588	0	742	811	254	14	61	9	8	1	1	0	14	10	111	19	6	0	0	0	0	7	0	3	0	0	30	5	1	0	0	0	0	0	0	0	2	11	11	82	0	13	0	0	0	0	0	0	0	0	0	0	0
OTU3	169	118	34	265	7	776	0	451	4	158	0	355	83	440	55	61	43	70	62	63	180	71	45	44	404	392	170	242	937	471	26	0	288	170	0	13	147	107	614	19	442	463	0	0	68	121	0	23	4716	2804	13	16	1099	585	1544	1315	0	0	0	0	0	0	0	0	0
OTU23	97	194	0	9	0	350	0	103	0	284	4	749	68	428	23	37	5	6	0	0	0	0	0	0	0	0	185	313	1348	791	0	0	0	0	0	0	29	167	363	0	251	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU29	131	98	56	127	0	87	0	8	0	24	0	0	6	104	12	15	21	15	0	0	0	0	0	1	22	16	5	0	6	0	0	0	27	8	9	0	41	12	6	0	0	0	0	31	57	10	0	10	22	21	0	39	50	29	266	238	41	98	0	0	0	0	0	0	0
OTU32	2	37	0	0	0	6	0	14	0	8	0	0	1	37	0	2	2	2	0	0	0	0	0	0	0	0	8	24	139	63	0	0	0	0	0	0	0	0	217	0	95	132	0	0	0	7	0	0	0	0	0	0	33	27	58	59	155	286	0	0	0	0	0	0	0
OTU535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU59	6	43	0	12	0	92	0	41	0	46	0	300	223	160	35	90	40	21	3	23	42	9	43	1	35	40	48	39	139	47	0	0	0	0	0	0	44	49	42	0	50	47	0	0	55	65	0	0	46	46	7	9	53	27	218	159	0	0	0	0	0	0	0	0	0
OTU352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	45	9	19	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU49	5	7	26	0	6	9	4	0	9	7	13	37	16	0	15	2	12	0	21	1	0	5	2	8	0	0	16	13	20	0	40	38	2	0	21	25	5	0	28	19	0	3	5	19	0	2	52	6	0	1	13	0	0	6	1	1	0	0	0	0	8	0	0	0	11
OTU52	3	64	9	1	12	6	1	0	0	13	0	0	0	0	9	4	7	5	22	17	3	4	4	3	44	10	1	5	15	7	0	0	8	0	0	0	63	62	0	12	1	12	10	9	118	59	28	0	66	32	0	0	2	2	0	1	686	1047	0	0	0	0	0	0	0
OTU143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU109	128	4	45	104	0	58	0	32	0	8	0	0	5	17	12	16	9	12	6	1	0	0	18	1	24	33	42	6	7	6	32	13	56	39	0	7	58	37	0	18	1	8	7	18	14	70	33	0	10	8	83	20	24	36	2	1	37	69	0	0	0	0	0	0	0
OTU60	42	113	20	75	0	40	28	14	9	35	6	12	45	0	51	79	28	19	51	29	12	13	24	1	51	38	33	27	45	27	0	0	37	18	0	3	136	107	105	14	21	42	45	7	37	76	18	0	25	67	6	35	8	25	23	25	66	126	0	0	0	0	0	0	0
OTU6	51	746	174	187	276	207	40	71	372	134	68	96	402	103	434	539	477	248	15	8	0	2	2769	118	1083	1607	67	293	11	25	324	141	635	337	0	21	0	0	0	0	0	0	0	0	0	10	401	56	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU63	65	9	17	78	0	142	5	22	10	6	0	69	18	0	8	8	13	2	5	1	0	0	3	1	0	0	12	4	3	0	0	0	36	29	0	0	105	82	0	0	0	0	0	0	0	0	0	0	0	26	0	0	33	35	85	83	237	355	0	5	0	0	0	0	0
OTU851	2	22	0	2	0	8	0	9	0	26	0	0	12	41	7	3	3	3	4	0	0	0	0	0	5	0	7	0	9	14	0	0	0	0	0	0	0	3	0	0	1	6	0	0	6	0	12	0	160	125	0	0	6	4	327	289	0	0	0	0	0	0	0	0	0
OTU105	3	6	9	31	0	0	9	36	1	0	0	0	117	0	147	202	33	0	113	28	4	7	3	0	6	3	73	8	13	7	0	0	0	6	0	0	3	26	0	0	5	8	11	0	10	16	40	0	11	4	32	102	5	39	0	0	0	0	0	0	0	0	0	0	0
OTU8	737	405	68	1205	217	1960	18	582	32	348	20	341	214	214	378	403	113	171	193	174	492	278	123	55	643	924	255	222	602	763	65	38	219	196	17	244	2229	2050	1085	164	745	672	172	95	917	893	136	157	1952	1084	95	97	658	406	258	277	0	0	4	0	0	0	0	0	0
OTU203	6	0	6	9	0	6	0	21	2	6	0	4	15	0	8	47	7	0	9	14	0	1	37	3	16	1	9	2	6	7	22	0	3	31	0	0	0	0	0	0	3	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU31	4	125	1	0	0	0	57	131	49	237	93	128	794	82	838	945	370	29	6	3	0	0	181	18	30	50	312	77	109	165	14	0	65	45	0	7	42	14	89	293	12	38	0	0	0	0	168	23	87	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU243	515	0	4	119	21	35	14	0	0	0	0	0	0	0	0	0	1	0	0	0	3	6	0	1	1	12	7	13	7	59	10	0	34	37	0	0	1	8	0	0	0	5	23	10	32	49	0	0	0	0	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU213	1	0	0	0	0	19	0	11	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	4	6	21	0	5	8	0	0	0	0	0	0	0	10	2	0	0	12	1	0	0	0	0	0	0	0	7	0	0	27	18	2	0	0	0	0	0	0	0	0	0	0
OTU377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	14	14	0	0	0	0	0	4	0	0	0	0	0	0	0	7	59	31	31	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU328	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	50	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU100	4	32	15	3	19	8	152	5	14	10	7	0	1	4	9	0	7	9	4	63	20	6	11	14	0	3	12	0	14	8	29	36	18	4	0	12	7	11	17	0	0	9	58	100	13	108	0	13	43	8	13	13	13	3	1	0	0	0	16	29	6	22	20	1	15
OTU44	64	0	34	33	3	9	40	24	4	95	25	47	284	47	578	161	106	15	1149	359	73	29	106	25	42	21	656	341	151	58	16	0	62	15	9	107	103	150	65	431	76	51	326	0	107	148	155	118	27	96	241	624	36	85	0	0	0	0	0	0	0	0	0	0	0
OTU141	18	71	0	3	9	0	0	23	0	51	0	0	71	24	202	278	59	2	4	3	0	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	74	8	46	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
OTU216	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	19	27	17	30	0	0	0	0	0	0	0	0	0	0	0	0	9	116	110	29	7	0	4	0	0	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU111	0	0	0	0	0	0	0	0	0	12	0	0	5	0	0	0	0	0	1	3	0	3	1	5	4	5	0	0	0	0	0	0	8	7	0	0	3	7	0	0	0	0	0	0	0	0	15	27	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
